id,adr,lat,long
25895,CHATEAU-RENAULT (ROUTE D,131750.0,4758450.0
25896,N152,135578.0,4760864.0
25897,RD 923,138148.0,4756170.0
25898,RD 2152,135652.0,4760923.0
25899,SCHUMAN (AVENUE ROBERT),132808.0,4760507.0
25900,MONTESQUIEU (RUE),137093.0,4758406.0
25901,CHEMIN DES ROCHES,138348.0,4750684.0
25902,PATTE D'OIE (rond point),137288.0,4756182.0
25903,RD 956,137099.0,4756737.0
25904,RD 956,135694.0,4759147.0
25905,SEUR (ALLEE DE),137140.0,4755909.0
25906,PAPIN (RUE DENIS),133530.0,4758663.0
25907,FOUGERETS (RUE DES),137024.0,4756629.0
25908,BRETAGNE (RUE ANNE DE),133317.0,4758531.0
25909,VENDOME (AVENUE DE),132614.0,4759660.0
25910,GAMBETTA (AVENUE),131863.0,4758471.0
25911,VENDOME (AVENUE DE),131975.0,4760017.0
25912,MAUNOURY (AVENUE DE MARE,134407.0,4759834.0
25913,TOURVILLE (RUE DU MARECH,130689.0,4759087.0
25914,RD 956,135324.0,4759443.0
25915,POSTE (RUE DE LA),136488.0,4761343.0
25916,VENDOME (AVENUE DE),132123.0,4759932.0
25917,GENTIL (BOULEVARD RENE),134989.0,4757883.0
25918,VERDUN (AVENUE DE),134339.0,4759086.0
25919,VALERY (avenue Paul),137527.0,4758466.0
25920,PONT JACQUES GABRIEL,133624.0,4758599.0
25921,RD 956,135744.0,4757181.0
25922,ROND POINT CROIX AUX ALO,129251.0,4760168.0
25923,GALLOIS (RUE),133011.0,4758788.0
25924,CLOUSEAU (MAIL),133642.0,4758960.0
25925,rue (Paul) Verlaine,137186.0,4758165.0
25926,RD 2152,135246.0,4760559.0
25927,BOURG NEUF (RUE DU),132939.0,4759432.0
25928,PIGELEE (RUE) Nø PAIRS,130519.0,4759905.0
25929,MOULIN (RUE JEAN),132681.0,4758652.0
25930,VEZIN (RUE ALEXANDRE),131750.0,4760782.0
25931,BRIAND (QUAI ARISTIDE),132828.0,4757674.0
25932,"19, TOURS (ROUTE DE)",106395.0,4778192.0
25933,BLOIS (ROUTE DE),110097.0,4776116.0
25934,MAILLETTES (RUE DES),106552.0,4781053.0
25935,TUILERIE (ENTRE MAILLETT,106939.0,4780677.0
25936,MONTAIGU (RUE DE),104221.0,4778154.0
25937,"24, JAURES (RUE JEAN)",428982.0,4539125.0
25938,GIRARDS (ROUTE DES),425674.0,4539373.0
25939,REPUBLIQUE (RUE DE LA),432115.0,4539599.0
25940,GAMBETTA (RUE),437553.0,4540512.0
25941,RD 88,429303.0,4539291.0
25942,RD3,424143.0,4540601.0
25943,VERDIE (RUE),428396.0,4538991.0
25944,DASSAULT (RUE MARCEL),430640.0,4539452.0
25945,BERAUDIERE (RUE DE LA),437858.0,4540800.0
25946,PEPINIERES (ALLEE DES),423620.0,4539320.0
25947,,428276.0,4538595.0
25948,ALCAZAR (RUE DE L'),429279.0,4539555.0
25949,ALCAZAR (RUE DE L'),429290.0,4539557.0
25950,FRACHON RUE BENOIT,435398.0,4540039.0
25951,RD 3,423791.0,4540503.0
25952,RD25-1,428581.0,4541210.0
25953,JAURES (RUE JEAN),428946.0,4539110.0
25954,GARE AVENUE DE LA,428677.0,4539041.0
25955,FRACHON (RUE BENOIT),435354.0,4540025.0
25956,RD 3,425961.0,4539724.0
25957,RD 25,426046.0,4540133.0
25958,R.D 504,415156.0,4604071.0
25959,GUERINS (RUE DES),409661.0,4601352.0
25960,"0, CHARLES DE GAULLE(AV",406659.0,4608031.0
25961,"24, SALENGRO (RUE ROGER)",407320.0,4603859.0
25962,"0, PINAY (RUE ANTOINE)",409944.0,4600903.0
25963,"2, CHARLES DE GAULLE(AV)",406815.0,4608183.0
25964,"104, MULSANT (RUE)",405666.0,4603895.0
25965,Route nationale 7,404261.0,4607329.0
25966,"0, CHARLIEU (RUE DE )",409072.0,4606686.0
25967,RUE ROUSSEAU/BERANGER,406169.0,4603844.0
25968,"0, VAUBAN (RUE)",409344.0,4602549.0
25969,"73, VERDUN (PLACE DE )",407317.0,4603875.0
25970,CARNOT (RUE),408270.0,4603155.0
25971,"362, CALMETTE DOCTEUR (R",405963.0,4605316.0
25972,"0, PLASSE (RUE GEORGES)",406259.0,4603049.0
25973,"6, CARNOT (RUE)",408357.0,4603138.0
25974,"0, CHARLIEU (RUE DE )",408303.0,4604873.0
25975,"0, Route nationale 7",405970.0,4606400.0
25976,"159 bis, PARIS (AVENUE D",406668.0,4605056.0
25977,"0, REPUBLIQUE (COUR DE L",406362.0,4603953.0
25978,"34, LIBERATION (AVENUE D",408000.0,4603000.0
25979,"90, QUINET (BOULEVARD ED",407451.0,4604914.0
25980,"39, ADER CLEMENT (RUE)",404762.0,4606132.0
25981,"0, MOULIN PAILLASSON (RU",406372.0,4603614.0
25982,"0, SAINT-VINCENT (ROUTE",410246.0,4600573.0
25983,"84, THOMAS (RUE ALBERT)",407418.0,4604726.0
25984,"0, MAUPASSANT (RUE GUY D",405758.0,4606600.0
25985,"0, BARGE (alle Claude)",408240.0,4602850.0
25986,"23, BOCHARD RUE CLAUDE",406792.0,4602851.0
25987,"0, CORNEILLE PIERRE (RUE",406301.0,4606635.0
25988,R.D 504,415277.0,4604094.0
25989,"1, CLERMONT (RUE DE )",406733.0,4603117.0
25990,"18, BRANLY (RUE)",406423.0,4605361.0
25991,OUEST (BOULEVARD),406667.0,4605066.0
25992,MARENGO (RUE),407538.0,4603714.0
25993,Route nationale 7,406140.0,4606340.0
25994,LIBERATION (AVENUE DE LA,408652.0,4602512.0
25995,PARIS AVENUE DE,406937.0,4604687.0
25996,DESROCHE (RUE HENRI),404945.0,4603338.0
25997,CHARLES DE GAULLE(AV),406677.0,4605051.0
25998,OUEST (BOULEVARD),406290.0,4604870.0
25999,DOURDEIN (RUE AUGUSTE ),405365.0,4604044.0
26000,,402539.0,4602719.0
26001,REPUBLIQUE (AVENUE DE LA,409593.0,4602601.0
26002,ETINES (BOULEVARD DES),409091.0,4602405.0
26003,CORNEILLE PIERRE (RUE),406689.0,4607825.0
26004,LIBERATION (AVENUE DE LA,408704.0,4602431.0
26005,JAURES (RUE JEAN),407273.0,4603516.0
26006,LYON (AVENUE DE),407739.0,4603823.0
26007,NOBILE (RT DE),404082.0,4605448.0
26008,DESROCHE (RUE HENRI),405090.0,4603380.0
